답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
X,홍성군청,8-12-0258,1982-10-01,,거목,회화나무,Sophora japonica L.,회화나무,1,365,20,390,,시·군나무,대,,,,충청남도 홍성군 결성면 읍내리329,36.524282,126.5435558,2023-12-31
X,홍성군청,8-12-0252,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,365,18,330,,시·군나무,도로,,,,충청남도 홍성군 장곡면 죽전리 536-3,36.5065725,126.6651929,2023-12-31
X,홍성군청,8-12-0368,1990-07-01,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,360,14,340,,시·군나무,구거,,,,충청남도 홍성군 장곡면 천태리665-2,36.5118378,126.7536974,2023-12-31
X,홍성군청,05-Feb,2005-05-18,,거목,회화나무,Sophora japonica L.,회화나무,1,360,15,200,,시·군나무,대,,,,충청남도 홍성군 홍성읍 월산리 430,36.5959377,126.6371422,2023-12-31
X,홍성군청,8-14-13-297,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,355,20,700,,시·군나무,도로,,,,충청남도 홍성군 갈산면 대사리 500,36.641332,126.5574315,2023-12-31
X,홍성군청,8-12-0255,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,355,18,310,,시·군나무,임야,,,,충청남도 홍성군 서부면 중리 산7-1,36.5828777,126.5254768,2023-12-31
X,홍성군청,8-12-0256,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,355,18,310,,시·군나무,임야,,,,충청남도 홍성군 서부면 중리 산7-1,36.5828777,126.5254768,2023-12-31
X,홍성군청,322,2003-02-14,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,353,15,302,,시·군나무,임야,,,,충청남도 홍성군 장곡면 화계리 산42,36.4913991,126.6791772,2023-12-31
X,홍성군청,8-12-0246,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,351,20,450,,시·군나무,대,,,,충청남도 홍성군 홍성읍 구룡리285,36.5920997,126.6892031,2023-12-31
X,홍성군청,13-Jul,2013-09-05,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,350,15,640,,시·군나무,대,,,,충청남도 홍성군 장곡면 가송리 190-1,36.5078525,126.6764891,2023-12-31
